title,category,type,medium,frame,photo_url_link,artist,site,street_address,city,zip_code,state,latitude,longitude
LAKE ERIE,DECORATIVE OBJECTS,PLAQUE,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/LAKE%20ERIE%20PLAQUE.HTML,LINCOLN MEMORIALS,ERIE BASIN MARINA,329 ERIE ST,BUFFALO,14202,NY,42.884454,-78.890315
CONSTRUCTION,PAINTINGS,LUNETTE MURAL,OIL ON CANVAS WITH  PLASTER RELIEF,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CONSTRUCTION.HTML,WILLIAM DE LEFTWICH DODGE,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
DELAWARE PARK PLAQUE II,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DELAWARE%20PARK%20PLAQUE%20II.HTML,UNKNOWN,DELAWARE PARK,MEADOW DRIVE,BUFFALO,14216,NY,42.933451,-78.869458
MAYOR ERASTUS C KNIGHT,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ERASTUS%20KNIGHT.HTML,RAPHAEL BECK,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
CANADIAN MAPLE TREES COMMEMORATIVE PLAQUE,DECORATIVE OBJECTS,PLAQUE,BRONZE ON GRANITE BASE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CANADIAN%20TREES.HTML,UNKNOWN,BUFFALO CITY COURT BUILDING,50 DELAWARE AVE,BUFFALO,14202,NY,42.885709,-78.87959
BUFFALO CITY HALL,PHOTOGRAPHY,LANDSCAPE,PHOTOGRAPHIC IMAGE,True,UNKNOWN,UNKNOWN,502 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
16TH WARD WORLD WAR I MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/16TH%20WARD%20WWI%20MEMORIAL.HTML,UNKNOWN,SYCAMORE ST & WALDEN AVE,447 WALDEN AVE,BUFFALO,14211,NY,42.904007,-78.81945
B DISTRICT POLICE MURAL,PAINTINGS,MURAL,ACRYLIC ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/B%20DISTRICT%20POLICE%20MURAL.HTML,ANDREW REID,POLICE PRECINCT,E TUPPER ST & MAIN ST,BUFFALO,14203,NY,42.893331,-78.871878
13TH REGIMENT US INFANTRY,DECORATIVE OBJECTS,PLAQUE,BRONZE ON BOULDER,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/13TH%20REGIMENT%20US%20INFANTRY.HTML,UNKNOWN,BUFFALO HISTORY MUSEUM,1 MUSEUM COURT,BUFFALO,14216,NY,42.935415,-78.87627
MAYOR CONRAD DIEHL,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CONRAD%20DIEHL.HTML,G J  RUDOLPH,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
FRONTIERS UNFETTERED BY ANY FROWNING FORTRESS,PAINTINGS,MURAL,OIL ON CANVAS WITH PLASTER RELIEF,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FRONTIERS%20UNFETTERED%20BY%20ANY%20FROWNING%20FORTESS.HTML,WILLIAM DE LEFTWICH DODGE,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
GENERAL KAZIMIER PULASKI,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GENERAL%20KAZIMIER%20PULASKI.HTML,KAZIMIERZ DANILEWICZ,FIVE FLAGS PARK,S DIVISION ST,BUFFALO,14203,NY,42.883027,-78.874999
WILLIAM MCKINLEY MONUMENT,SCULPTURE,FOUNTAIN,VERMONT AND ITALIAN MARBLE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MCKINLEY%20MONUMENT.HTML,ALEXANDER PHI MISTER PROCTOR AND NEWMAN AND EVANS,NIAGARA SQUARE,NIAGARA SQUARE,BUFFALO,14202,NY,42.886627,-78.878551
MAYOR JOSEPH MRUK,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOSEPH%20MRUK.HTML,VIRGINIA TILLOU,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
CITY HALL FRIEZE EAST,SCULPTURE,RELIEF,STONE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CITY%20HALL%20FRIEZE%20EAST.HTML,ALBERT STEWART,CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
JAPANESE GARDEN DEDICATION STONE,SCULPTURE,RELIEF,STONE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JAPANESE%20GARDEN%20DEDICATION%20STONE.HTML,UNKNOWN,JAPANESE GARDENS,1 MUSEUM CT,BUFFALO,14216,NY,42.935585,-78.875174
WOLFGANG A MOZART,SCULPTURE,BUST,BRONZE AND RED QUINCY GRANITE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MOZART.HTML,OLIN H WARNER,DELAWARE PARK,MEADOW DRIVE,BUFFALO,14216,NY,42.935624,-78.875722
HISTORIC ITEMS,DECORATIVE OBJECTS,VARIOUS,MIXED MEDIA,False,UNKNOWN,VARIOUS,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
CITY HALL,PHOTOGRAPHY,PHOTOGRAPH,PHOTOGRAPHIC IMAGE,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CITY%20HALL.HTML,BIFF HENRICH,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR ISAAC R HARRINGTON,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ISAAC%20HARRINGTON.HTML,UNKNOWN,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
GENERAL DANIEL DAVIDSON BIDWELL,SCULPTURE,FIGURITIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BIDWELL.HTML,SAHL SWARZ,COLONIAL CIRCLE,BIDWELL PKWY,BUFFALO,14222,NY,42.920769,-78.881047
MAYOR PHILIP BECKER,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PHILIP%20BECKER.HTML,J P SELINGER,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
FRANK W TYLER MEMORIAL,DECORATIVE OBJECTS,PLAQUE,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FRANK%20W.%20TYLER%20MEMORIAL.HTML,UNKNOWN,TYLER PARK,78 SOUTHSIDE PKWY,BUFFALO,14220,NY,42.850363,-78.823991
ZONING MAPS,GRAPHIC ARTS,MAP,PAPER,False,UNKNOWN,UNKNOWN,304 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
PEARL HARBOR MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PEARL%20HARBOR%20MEMORIAL.HTML,UNKNOWN,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
JOAN FUZAK,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOAN%20FUZAK%20PLAQUE.HTML,UNKNOWN,ERIE BASIN MARINA,329 ERIE ST,BUFFALO,14202,NY,42.884454,-78.890315
MAYOR FRANK X SCHWAB,PHOTOGRAPHY,PORTRAIT,PHOTOGRAPHIC IMAGE,True,UNKNOWN,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
KOREAN WAR VETERANS,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/KOREAN%20WAR%20VETERANS%20MEMORIAL.HTML,HENRY GORKO AND LEANORD SZYMANSKI,HOUGHTON-STACHOWSKI PARK,CLINTON ST,BUFFALO,14206,NY,42.871691,-78.813918
PAN-AMERICAN EXPOSITION CENTENNIAL MONUMENT,SCULPTURE,RELIEF,POLISHED BLACK GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PAN-AMERICAN%20EXPOSITION%20CENTENNIAL%20MONUMENT.HTML,WILLIAM G KOCH,DELAWARE PARK,MEADOW DRIVE,BUFFALO,14216,NY,42.930496,-78.873167
BUFFALO ARTS COMMISSION AWARD PLAQUE,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/BUFFALO%20ARTS%20COMMISSION%20AWARD.HTML,UNKNOWN,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR JAMES N ADAM,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JAMES%20ADAM.HTML,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
RIVERSIDE PARK LIGHTHOUSE MEMORIAL,SCULPTURE,FIGURATIVE,GRANITE AND BRONZE,False,UNKNOWN,UNKNOWN,RIVERSIDE PARK,2607 NIAGARA ST,BUFFALO,14207,NY,42.955957,-78.910804
DR MARTIN LUTHER KING JR MEMORIAL,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MLK%20JR.%20MEMORIAL.HTML,JOHN WILSON,MARTIN LUTHER KING JR. PARK,FILLMORE AVE,BUFFALO,14211,NY,42.90431,-78.842659
PORTRAIT OF CITY HALL,COLLAGE,LANDSCAPE,MIXED MEDIA,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PORTRAIT%20OF%20CITY%20HALL.HTML,GERALD C MEAD JR,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
AT THE READY (115TH NY VOLUNTEER INFANTRY CIVIL WAR MEMORIAL),DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/115TH%20NY%20VOLUNTEER%20INFANTRY%20CIVIL%20WAR%20MEMORIAL.HTML,HENRY J SCHMIDT,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
"LINCOLN, THE EMANCIPATOR",SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/LINCOLN%20THE%20EMANCIPATOR.HTML,CHARLES H NIEHAUS,BUFFALO HISTORY MUSEUM,1 MUSEUM COURT,BUFFALO,14216,NY,42.935415,-78.87627
COUNCIL PRESIDENT ELMER J LUX,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ELMER%20LUX.HTML,TONY SISTI,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
COUNCIL PRESIDENT WILLIAM B LAWLESS,PHOTOGRAPHY,PORTRAIT,HAND COLORED PHOTOGRAPH,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/WILLIAM%20LAWLESS.HTML,SCHALK,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR TIMOTHY T LOCKWOOD,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/TIMOTHY%20LOCKWOOD.HTML,EDWARD D FUER,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
STANLEY P MAGNUSZEWSKI MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/STANLEY%20P.%20MAGNUSZEWSKI%20MEMORIAL.HTML,UNKNOWN,STREET CORNER SW,WILLIAM ST & FILLMORE AVE,BUFFALO,14206,NY,42.884815,-78.839489
PORTER AVE PUMPING TOWER RENDERING,GRAPHIC ARTS,DRAWING,PAPER,False,UNKNOWN,UNKNOWN,6TH FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
COUNCIL PRESIDENT JOHN A ULINSKI,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOHN%20ULINSKI.HTML,EDWARD REIGEL,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR GEORGE J ZIMMERMAN,PHOTOGRAPHY,PORTRAIT,PHOTOGRAPHIC IMAGE,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GEORGE%20ZIMMERMAN.HTML,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
DO THE RIGHT THING,PAINTINGS,LANDSCAPE,PHOTOGRAPHIC IMAGE,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/DO%20THE%20RIGHT%20THING.HTML,STANFORD LIPSEY,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
GATES CIRCLE LAMP STANDS,DECORATIVE OBJECTS,LAMP,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GATES%20CIRCLE%20LAMP%20STANDS.HTML,UNKNOWN,GATES CIRCLE,DELAWARE AVE & LAFAYETTE AVE,BUFFALO,14209,NY,42.920335,-78.868002
WORLD WAR I MEMORIAL,SCULPTURE,PLAQUE,GRANITE,False,UNKNOWN,UNKNOWN,STREET TRIANGLE MEDIAN,MAIN ST & NORTHLAND AVE,BUFFALO,14209,NY,42.919641,-78.859655
MAYOR ALEXANDER BRUSH,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ALEXANDER%20BRUSH.HTML,H I  MARLATT,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR SOLOMON SCHEU,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SOLOMON%20SCHEU.HTML,J C ROTHER,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
WILLIAM L MARCY JR,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,UNKNOWN,UNKNOWN,MARCY CASINO,199 LINCOLN PKWY,BUFFALO,14222,NY,42.931936,-78.873155
SURVEY RULER,DECORATIVE OBJECTS,ANTIQUE TOOL,WOOD,False,UNKNOWN,UNKNOWN,502 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
FRANK CALLAHAN MEMORIAL,SCULPTURE,FIGURATIVE,COR-TEN STEEL AND BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FRANK%20CALLAHAN%20MEMORIAL.HTML,UNKNOWN,CAZENOVIA PARK,CAZENOVIA ST,BUFFALO,14220,NY,42.846737,-78.810073
CHRISTOPHER COLUMBUS,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/COLUMBUS.HTML,UNKNOWN,COLUMBUS PARK,645 NIAGARA ST,BUFFALO,14201,NY,42.901121,-78.89306
BUFFALO STREET MAP,GRAPHIC ARTS,MAP,VELLUM PAPER,True,UNKNOWN,UNKNOWN,304 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
POLISH-AMERICAN VETERANS MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/POLISH-AMERICAN%20VETERANS%20MEMORIAL.HTML,H A GOMEZ AND MICAEL ANGELO,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
THE BATTLE WITHIN,SCULPTURE,RELIEF,COR-TEN STEEL,False,https://buffalonavalpark.org/wp-content/uploads/2019/04/The-Battle-Within-Buffalo-NY-1-730x488-450x301.png,J HULLEMERURCH,BUFFALO NAVAL PARK,72 MARINE DR,BUFFALO,14202,NY,42.878406,-78.8811441
CORONATION DAY,SCULPTURE,ABSTRACT,CHROME AND STEEL,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/CORONATION%20DAY.HTML,KENNETH SNELSON,BUFFALO CITY COURT BUILDING,50 DELAWARE AVE,BUFFALO,14202,NY,42.885709,-78.87959
